impath,imdesc
/data/samplebooks/img/scaled/872b.jpg,2
/data/samplebooks/img/scaled/5436d.jpg,7
/data/samplebooks/img/scaled/5539q.jpg,1
/data/samplebooks/img/scaled/1881b.jpg,3
/data/samplebooks/img/scaled/1697w.jpg,2
/data/samplebooks/img/scaled/1008v.jpg,2
/data/samplebooks/img/scaled/5525g.jpg,1
/data/samplebooks/img/scaled/295e.jpg,1
/data/samplebooks/img/scaled/3213m.jpg,2
/data/samplebooks/img/scaled/5540s.jpg,1
/data/samplebooks/img/scaled/2077r.jpg,1
/data/samplebooks/img/scaled/5512k.jpg,1
/data/samplebooks/img/scaled/5413n.jpg,2
/data/samplebooks/img/scaled/301a.jpg,1
/data/samplebooks/img/scaled/3213y.jpg,2
/data/samplebooks/img/scaled/5169f.jpg,1
/data/samplebooks/img/scaled/4782r.jpg,1
/data/samplebooks/img/scaled/2319h.jpg,4
/data/samplebooks/img/scaled/5463s.jpg,1
/data/samplebooks/img/scaled/5521ii.jpg,1
/data/samplebooks/img/scaled/2211e.jpg,2
/data/samplebooks/img/scaled/291l.jpg,2
/data/samplebooks/img/scaled/2085f.jpg,1
/data/samplebooks/img/scaled/5612c.jpg,2
/data/samplebooks/img/scaled/2142w.jpg,2
/data/samplebooks/img/scaled/5207l.jpg,2
/data/samplebooks/img/scaled/3195i.jpg,1
/data/samplebooks/img/scaled/904g.jpg,3
/data/samplebooks/img/scaled/3196b.jpg,1
/data/samplebooks/img/scaled/5444e.jpg,1
/data/samplebooks/img/scaled/1696j.jpg,3
/data/samplebooks/img/scaled/4143h.jpg,2
/data/samplebooks/img/scaled/5539l.jpg,1
/data/samplebooks/img/scaled/1882p.jpg,1
/data/samplebooks/img/scaled/2141ii.jpg,2
/data/samplebooks/img/scaled/5170ee.jpg,1
/data/samplebooks/img/scaled/5410n.jpg,1
/data/samplebooks/img/scaled/5502l.jpg,1
/data/samplebooks/img/scaled/5606pp.jpg,1
/data/samplebooks/img/scaled/1882h.jpg,1
/data/samplebooks/img/scaled/5520g.jpg,1
/data/samplebooks/img/scaled/5411d.jpg,8
/data/samplebooks/img/scaled/2142a.jpg,2
/data/samplebooks/img/scaled/1942a.jpg,1
/data/samplebooks/img/scaled/3191i.jpg,1
/data/samplebooks/img/scaled/5205ll.jpg,1
/data/samplebooks/img/scaled/5514u.jpg,1
/data/samplebooks/img/scaled/5497e.jpg,1
/data/samplebooks/img/scaled/5209ee.jpg,5
/data/samplebooks/img/scaled/5301l.jpg,1
/data/samplebooks/img/scaled/2083n.jpg,2
/data/samplebooks/img/scaled/2142n.jpg,4
/data/samplebooks/img/scaled/5504q.jpg,1
/data/samplebooks/img/scaled/292c.jpg,2
/data/samplebooks/img/scaled/2372a.jpg,1
/data/samplebooks/img/scaled/5303f.jpg,1
/data/samplebooks/img/scaled/4781g.jpg,1
/data/samplebooks/img/scaled/2647b.jpg,1
/data/samplebooks/img/scaled/5484m.jpg,1
/data/samplebooks/img/scaled/5431m.jpg,1
/data/samplebooks/img/scaled/5514z.jpg,1
/data/samplebooks/img/scaled/1880k.jpg,3
/data/samplebooks/img/scaled/5505j.jpg,1
